Nano-RK Version 101
0 105468804 1->2
0 409179897 2->0
0 999023949 0->1
1 302734530 1->0
1 998047386 0->1
2 301757967 1->2
2 605469060 2->0
2 997070823 0->1
3 300781404 1->0
3 996094260 0->1
4 299804841 1->2
4 603515934 2->0
4 995117697 0->1
5 298828278 1->0
5 994141134 0->1
6 297851715 1->2
6 601562808 2->0
6 993164571 0->1
7 296875152 1->0
7 992188008 0->1
8 295898589 1->2
8 599609682 2->0
8 991211445 0->1
9 294922026 1->0
9 990234882 0->1
10 293945463 1->2
10 597656556 2->0
10 989258319 0->1
11 292968900 1->0
11 988281756 0->1
12 291992337 1->2
12 595703430 2->0
12 987305193 0->1
13 291015774 1->0
13 986328630 0->1
14 290039211 1->2
14 593750304 2->0
14 985352067 0->1
15 289062648 1->0
15 984375504 0->1
16 288086085 1->2
16 591797178 2->0
16 983398941 0->1
17 287109522 1->0
17 982422378 0->1
18 286132959 1->2
