time_s,is_running
0.121094,1
0.424805,0
0.999024,1
1.302735,0
1.998047,1
2.000977,0
2.303711,1
2.605469,0
2.997071,1
3.300781,0
3.996094,1
3.999024,0
4.302735,1
4.604492,0
4.995118,1
5.298828,0
5.994141,1
5.997071,0
6.300781,1
6.602539,0
6.993165,1
7.296875,0
7.992188,1
7.995118,0
8.298828,1
8.600586,0
8.991211,1
9.294922,0
9.990235,1
9.993165,0
10.296875,1
10.598633,0
10.989258,1
11.292969,0
11.988282,1
11.991211,0
12.294922,1
12.596680,0
12.987305,1
13.291016,0
13.986329,1
13.989258,0
14.292969,1
14.594727,0
