Nano-RK Version 101
0 121093812 2->1
0 424804905 1->0
0 999023949 0->1
1 302734530 1->0
1 998047386 0->1
2 976563 1->2
2 303711093 2->1
2 605469060 1->0
2 997070823 0->1
3 300781404 1->0
3 996094260 0->1
3 999023949 1->2
4 302734530 2->1
4 604492497 1->0
4 995117697 0->1
5 298828278 1->0
5 994141134 0->1
5 997070823 1->2
6 300781404 2->1
6 602539371 1->0
6 993164571 0->1
7 296875152 1->0
7 992188008 0->1
7 995117697 1->2
8 298828278 2->1
8 600586245 1->0
8 991211445 0->1
9 294922026 1->0
9 990234882 0->1
9 993164571 1->2
10 296875152 2->1
10 598633119 1->0
10 989258319 0->1
11 292968900 1->0
11 988281756 0->1
11 991211445 1->2
12 294922026 2->1
12 596679993 1->0
12 987305193 0->1
13 291015774 1->0
13 986328630 0->1
13 989258319 1->2
14 292968900 2->1
14 594726867 1->0
